Id,Modulo,Nodo,Punto,Especie,Genero,Epiteto,Sexo,Edad,Est Reprod,LP,LO,LCO,LCU,LT,LV,Peso (g),Fecha,Obs
1,1,65,A15,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TE,18.5,16.6,102,90,192,,22,10/10/2021,
2,1,65,A20,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,19.2,19.6,106,95,201,,28.7,10/10/2021,
2,1,65,A19,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,19.2,19.6,106,95,201,,28.7,10/11/2021,Recaptura
3,1,65,A20,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,SA,20.4,13.9,151,99,250,,28.84,10/11/2021,
4,1,65,C20,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,18.8,16.2,110,73,183,,,10/11/2021,
3,1,65,A19,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,,,,,10/12/2021,Recaptura
1,1,65,A14,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,,,,,10/12/2021,Recaptura
1,1,66,A10,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,19.1,17.9,111,80,191,,23,11/12/2021,
2,1,66,A12,Liomys irroratus,Liomys ,irroratus,H,Ad,Preñada,29.7,15.6,123,101,224,,62,11/12/2021,
3,1,66,B7,Liomys irroratus,Liomys ,irroratus,H,Ad,MD,30,11.9,121,111,232,,58,11/12/2021,
4,1,66,C8,Liomys irroratus,Liomys ,irroratus,H,Juv,SC,28.7,11.7,95,90,185,,39,11/12/2021,
5,1,66,D5,Peromyscus sp.,,,H,Juv,SC,20,15.3,101,63,164,,21,11/12/2021,
6,1,66,D6,Peromyscus sp.,,,H,Ad,Preñada,20.8,18.5,112,85,197,,30,11/12/2021,
7,1,66,D11,Peromyscus sp.,,,H,Ad,Preñada,20.5,18.5,103,75,178,,26,11/12/2021,
8,1,66,A13,Peromyscus sp.,,,M,Juv,TI,20.8,15.5,90,55,145,,25,11/12/2021,
9,1,66,A5,Liomys irroratus,Liomys ,irroratus,H,Ad,Preñada,29.2,15,132,90,222,,71,11/12/2021,
10,1,66,A10,Peromyscus sp.,,,H,Ad,Preñada,20.6,16.9,108,66,174,,38,11/13/2021,
11,1,66,B1,Sigmodon hispidus,Sigmodon,hispidus,M,Ad,TE,29.3,14.3,105,95,200,,69,11/13/2021,
12,1,66,B2,Sigmodon hispidus,Sigmodon,hispidus,H,Juv,SC,27.9,18.1,,,,,,11/13/2021,
13,1,66,B3,Sigmodon hispidus,Sigmodon,hispidus,,,,,,,,,,100,11/13/2021,
14,1,66,B4,Sigmodon hispidus,Sigmodon,hispidus,M,,,27.8,14.9,103,110,213,,90,11/13/2021,
15,1,66,B9,Peromyscus sp.,,,M,Ad,TE,18.1,15.7,94,62,156,,21,11/13/2021,
16,1,66,C3,Sigmodon hispidus,Sigmodon,hispidus,M,Ad,,29.8,17.9,94,112,206,,64,11/13/2021,
17,1,66,C4,Sigmodon hispidus,Sigmodon,hispidus,H,Cría,SC,20,13.7,65,75,140,,34,11/13/2021,
4,1,66,C7,Liomys irroratus,Liomys ,irroratus,,,,,,,,,,37,11/13/2021,Recaptura
18,1,66,D2,Peromyscus sp.,Peromyscus,morfo 2,H,Cría,SC,17.9,12.3,95,43,138,,10,11/13/2021,
19,1,66,D5,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,19.7,17.4,92,62,154,,28,11/13/2021,
20,1,66,A4,Liomys irroratus,Liomys ,irroratus,H,Juv,,24.8,13.9,71,66,137,,24,11/14/2021,
21,1,66,A7,Liomys irroratus,Liomys ,irroratus,H,Juv,SC,29,11.8,91,81,172,,29,11/14/2021,
22,1,66,A12,Liomys irroratus,Liomys ,irroratus,,,,,,,,,,,11/14/2021,
23,1,66,B1,Sigmodon hispidus,Sigmodon,hispidus,M,Ad,,30,13.3,125,135,260,,100,11/14/2021,
24,1,66,B4,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,MD,19.5,17.1,107,75,182,,26,11/14/2021,
25,1,66,B5,Liomys irroratus,Liomys ,irroratus,M,Ad,TE,29.6,12.6,122,115,237,,69,11/14/2021,
3,1,66,B6,Liomys irroratus,Liomys ,irroratus,H,Ad,Preñada,,,,,,,60,11/14/2021,Recaptura
4,1,66,B7,Liomys irroratus,Liomys ,irroratus,H,,,,,,,,,41,11/14/2021,Recaptura
26,1,66,B12,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,20.4,16,112,75,187,,22,11/14/2021,
27,1,66,C5,Reithrodonthomys fulvescens,Reithrodontomys ,fulvescens,M,Juv,,18.9,13,105,70,175,,13,11/14/2021,
28,1,66,C8,Peromyscus sp.,Peromyscus,morfo 2,M,Juv,TE,20.8,15.2,102,83,185,,22,11/14/2021,
29,1,66,D2,Peromyscus sp.,,,M,Ad,TE,21,18.6,125,74,199,,31,11/14/2021,
30,1,66,D3,Reithrodonthomys fulvescens,Reithrodontomys ,fulvescens,H,Juv,SC,18.9,11.8,101,55,156,,12,11/14/2021,
31,1,66,D4,Liomys irroratus,Liomys ,irroratus,M,Ad,TE,29.1,15,123,115,238,,57,11/14/2021,
32,1,66,D5,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,,21,17.1,91,55,146,,20,11/14/2021,
33,1,66,D6,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,Preñada,20.5,17.3,106,78,184,,25,11/14/2021,
34,1,66,D7,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,19.6,17.1,105,81,186,,23,11/14/2021,
1,1,63,A1,Peromyscus sp.,,,H,Ad,SA,21.4,18.8,110,70,180,,24,15/12/2021,Lactante
2,1,63,A5,Peromyscus sp.,,,M,,SC,22,17,95,91,186,33,32,15/12/2021,
3,1,63,A6,Peromyscus sp.,,,M,Juv,TI,18,12.6,90,52,142,25,10,15/12/2021,
4,1,63,A8,Peromyscus sp.,,,H,,SA,19,18,92,84,176,30,26,15/12/2021,Lactante
5,1,63,A10,Peromyscus sp.,,,M,,TI,19,13.2,150,67,217,24.8,17,15/12/2021,Foto celular Luz
6,1,63,B1,Peromyscus sp.,,,M,Ad,TE,19,18.1,110,71,181,38,23,15/12/2021,
7,1,63,B2,Peromyscus sp.,,,M,,TI,16,15.1,87,67,154,34,16,15/12/2021,Foto celular Luz
8,1,63,B9,Liomys irroratus,Liomys ,irroratus,M,Ad,TI,29,16.3,93,91,184,31,28,15/12/2021,Muerto 
9,1,63,C3,Liomys irroratus,Liomys ,irroratus,H,Ad,TI,27,15.3,93,80,173,23,29,15/12/2021,
10,1,63,C7,Peromyscus sp.,,,M,Juv,TI,16,16.5,95,64,159,23,15,15/12/2021,
11,1,63,C8,Peromyscus sp.,,,H,Juv,SC,19,14.6,95,62,157,27,16,15/12/2021,Marcado en cola
12,1,63,C13,Peromyscus sp.,,,M,Ad,TE,19,14,104,71,175,27,21,15/12/2021,
13,1,63,C17,Peromyscus sp.,,,M,Juv,TE,18,16,96,77,173,36,22,15/12/2021,
14,1,63,D12,Liomys irroratus,Liomys ,irroratus,H,Ad,SC,27,11,95,90,185,32,30,15/12/2021,
15,1,63,D13,Peromyscus sp.,,,M,Ad,TE,19,16.5,98,90,188,30,27,15/12/2021,
16,1,63,A1,Peromyscus sp.,,,H,Ad,SA,19,17.1,101,73,174,,28,16/12/2021,"Lactante, marcado en cola"
17,1,63,A1,Peromyscus sp.,,,M,Juv,TI,18,15.2,90,66,156,,14,16/12/2021,Marcado en cola
18,1,63,A6,Liomys irroratus,Liomys ,irroratus,M,Ad,TE,32,14,130,127,257,,58,16/12/2021,Marcado en cola
2,1,63,B9,Peromyscus sp.,,,,,,,,,,0,,,16/12/2021,Recaptura
19,1,63,C4,Peromyscus sp.,,,M,Ad,TE,20,16,91,70,161,,20,16/12/2021,Marcado en cola
20,1,63,C6,Sigmodon hispidus,Sigmodon ,hispidus,M,,TI,26,18,94,125,219,,89,16/12/2021,
21,1,63,C12,Criptotys parva,Criptotys ,parva,,,,11.5,,20.4,52.3,72.7,,4,16/12/2021,
22,1,63,D9,Peromyscus sp.,,,M,Ad,TE,19,14,94,95,189,,33,16/12/2021,Marcado en cola
23,1,63,A6,Sigmodon hispidus,Sigmodon ,hispidus,H,Ad,SA,26.3,17.8,105.1,120,225.1,,600?,16/12/2021,
24,1,63,A8,Peromyscus sp.,,,M,Juv,TI,19,17,98,74,172,,26,16/12/2021,
25,1,63,A9,Peromyscus sp.,,,H,Ad,SA,21,19.1,101,83,184,,36,16/12/2021,Lactante
10,1,63,C7,Peromyscus sp.,,,,,,,,,,,,,16/12/2021,Recaptura
9,1,63,C5,Liomys irroratus,Liomys ,irroratus,,,,,,,,,,,16/12/2021,Recaptura
11,1,63,C9,Peromyscus sp.,,,,,,,,,,,,,16/12/2021,"Recaptura, Marcado en cola"
12,1,63,C11,Peromyscus sp.,,,,,,,,,,,,,16/12/2021,Recaptura
4,1,63,C14,Peromyscus sp.,,,,,,,,,,,,,16/12/2021,Recaptura
,1,63,C13,Sigmodon hispidus,Sigmodon ,hispidus,,,,,,,,,,,16/12/2021,Escapó
26,1,63,A10,Peromyscus sp.,,,H,SC,Juv,17,14.7,80,62,142,,20,17/12/2021,
27,1,63,B1,Peromyscus sp.,,,M,TI,Juv,19,15.6,83,63,146,,22,17/12/2021,
28,1,63,B9,Peromyscus sp.,,,M,TI,Juv,17,10.3,95,53,148,,20,17/12/2021,
29,1,63,C4,Sigmodon hispidus,Sigmodon ,hispidus,H,SC,Ad,26,15.5,101,125,226,,>100,17/12/2021,
30,1,63,C5,Sigmodon hispidus,Sigmodon ,hispidus,M,TE,Ad,27,17.9,107,150,257,,>100,17/12/2021,
31,1,63,C6,Sigmodon hispidus,Sigmodon ,hispidus,M,TE,Ad,30,17.1,117,130,247,,>100,17/12/2021,
32,1,63,C7,Sigmodon hispidus,Sigmodon ,hispidus,M,TI,Juv,29,14.2,105,120,225,,89,17/12/2021,
33,1,63,C8,Peromyscus sp.,,,M,TI,Juv,16,13.5,94,50,144,,20,17/12/2021,
34,1,63,C10,Peromyscus sp.,,,M,TI,Juv,15,10,105,70,175,,24,17/12/2021,
35,1,63,C15,Peromyscus sp.,,,M,TE,Ad,19,17.6,104,84,188,,33,17/12/2021,
36,1,63,C13,Peromyscus sp.,,,M,TE,Juv,20,19.3,97,77,174,,28,17/12/2021,
37,1,63,D8,Peromyscus sp.,,,M,TI,Juv,17,14.9,107,70,177,,25,17/12/2021,
38,1,63,D9,Liomys irroratus,Liomys ,irroratus,H,SA,Ad,24,15.3,120,102,222,,62,17/12/2021,Preñada
39,1,63,D10,Peromyscus sp.,,,H,SA,Ad,18,17.4,100,77,177,,35,17/12/2021,Preñada
40,1,63,D12,Peromyscus sp.,,,H,SC,Juv,17,10,91,47,138,,18,17/12/2021,
16,1,63,A1,Peromyscus sp.,,,,,,,,,,0,,,17/12/2021,Recaptura
